Season,TeamIDA,TeamIDB,SeedA,SeedB,WinRatio14A,OffEffA,DefEffA,EFTA,WinRatioA,AvgRankA,WinRatio14B,OffEffB,DefEffB,EFTB,WinRatioB,AvgRankB,ScoreDiff,WinA
2003,1421,1411,16,16,1.0,105.31516352620105,115.456255743025,0.48980045725595167,0.4482758620689655,259.2,0.8333333333333334,107.18724091621468,105.07142453342391,0.5030357309843513,0.6,259.4,8,1
2003,1112,1436,1,16,0.6666666666666666,115.23294397676186,95.11751313261982,0.5176315318357815,0.8928571428571429,2.6,1.0,106.91116397001024,99.24763912628897,0.49473161615853734,0.6551724137931034,159.6,29,1
2003,1113,1272,10,7,0.5,113.78234942310604,103.4067310671188,0.5173341528553603,0.6206896551724138,33.6,0.75,109.88966648132072,97.00497437787983,0.498336900365261,0.7931034482758621,21.8,13,1
2003,1141,1166,11,6,1.0,114.12249929100518,105.42137945170624,0.5728354732143226,0.7931034482758621,43.4,1.0,118.5663462526722,96.73928390500437,0.5674548470502956,0.8787878787878788,23.0,6,1
2003,1143,1301,8,9,0.5,109.61148126989193,102.72516831754359,0.5240976104061414,0.7241379310344828,36.2,0.5,111.66963145481763,105.00117751114034,0.5341893099448477,0.6,45.0,2,1
2003,1163,1140,5,12,0.5,112.69615948146308,100.97391784953224,0.5242372118190726,0.7,23.0,0.8,115.29402122692446,100.70570900721658,0.5326766733400737,0.7419354838709677,31.4,5,1
2003,1181,1161,3,14,0.6666666666666666,115.78344436790006,99.59810332917574,0.5217445885068213,0.8,8.4,0.8333333333333334,111.68547845307234,110.2754727651939,0.5486632857256737,0.5666666666666667,88.8,10,1
2003,1211,1153,9,8,0.5,114.9972988895038,101.65320365262802,0.5361461287829044,0.7419354838709677,44.4,0.3333333333333333,107.01486338601265,98.67964312439372,0.46546485190110876,0.6071428571428571,43.0,5,1
2003,1228,1443,4,13,0.8,115.13655885053281,93.72149685572124,0.5518880513370574,0.8,8.6,1.0,110.88451867417761,100.08190227216329,0.5330570639664712,0.7419354838709677,55.8,5,1
2003,1242,1429,2,15,0.75,113.99101641528397,92.94697814383713,0.5254612448675793,0.7666666666666667,5.0,1.0,112.25892835338439,102.31261625181111,0.4950036675059476,0.7333333333333333,103.2,3,1
2003,1266,1221,3,14,0.5,120.05101928615393,103.19110549182663,0.5367233755253247,0.8214285714285714,13.6,1.0,111.07407609165696,92.83404257310362,0.510509343741536,0.8620689655172413,70.8,4,1
2003,1281,1356,6,11,0.5,109.95850668505337,102.02586681191258,0.5072784719092835,0.6774193548387096,22.8,0.75,113.10425229642782,103.22868662263176,0.5261255863699767,0.8,50.8,1,1
2003,1323,1454,5,12,0.3333333333333333,114.34625739158474,101.71595740310346,0.5194162502480917,0.7096774193548387,22.4,1.0,112.88520043927102,102.18649787046083,0.542570336220297,0.7666666666666667,50.6,1,1
2003,1328,1354,1,16,0.8,113.38961218345592,96.44599350564944,0.512123570480956,0.8,7.4,1.0,104.00776136929856,101.54678312918833,0.507974076567817,0.6666666666666666,218.8,17,1
2003,1390,1360,4,13,0.5,109.756595551608,101.9754753521764,0.5058352967095187,0.7419354838709677,27.0,1.0,107.13524925258423,102.67312609846097,0.5376612673539681,0.6071428571428571,85.2,8,1
2003,1409,1173,13,4,1.0,110.21527784463332,97.7000009672073,0.5198067489436253,0.7096774193548387,56.0,1.0,117.06032883856457,106.34626300921087,0.5223677034155361,0.8275862068965517,25.2,13,1
2003,1458,1451,5,12,0.6666666666666666,116.32309815507041,96.39389579958065,0.5257351431464357,0.7586206896551724,18.4,1.0,115.42808397551818,104.54766651234803,0.5239339763538539,0.8620689655172413,70.2,7,1
2003,1120,1386,10,7,0.5,106.91828754385666,100.69807743175443,0.5210959598918373,0.6333333333333333,44.4,0.5,111.507952944887,93.3417635842506,0.5208277543443889,0.7931034482758621,22.8,2,1
2003,1139,1280,12,5,0.5,117.46029768821492,103.55121862067818,0.5621366226538963,0.8275862068965517,43.4,0.6,108.71820067935009,93.80235813341213,0.5213587038487204,0.7,14.2,1,1
2003,1196,1358,2,15,0.0,116.15505642121022,99.31705854871674,0.5545693698246338,0.7741935483870968,7.8,1.0,107.91149476419572,97.78452454547005,0.5202784550647428,0.7777777777777778,127.2,30,1
2003,1231,1104,7,10,0.6,111.55561893925527,106.28114360315803,0.5007231363452628,0.625,38.6,0.5,107.67705607830862,101.63033774878302,0.47578467077421543,0.6071428571428571,34.2,5,1
